id,amount_tsh,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
71382,0,Twesa,0,TWESA,32.88083475,-3.59205208,Lyagiti Shuleni,0,Lake Victoria,Mwabaluhi,Shinyanga,17,3,Shinyanga Rural,Lyabukande,0,False,Parastatal,,True,0,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,other,other,functional needs repair
67471,20,Government Of Tanzania,971,DWE,36.82415899,-3.5004525,Kwa Tomasi Emanuel,0,Pangani,Marurani Kati,Arusha,2,2,Arusha Rural,Nduruma,150,True,VWC,Machumba estate pipe line,True,2009,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
22778,200,Mwaya Mn,262,Communit,36.9065836,-7.83583032,Kwamakingi,0,Rufiji,Mlagayai,Morogoro,5,3,Kilombero,Mang'ula,200,True,WUA,Mangula,True,2009,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
26356,500,Unicef/central,1737,DWE,34.69748906,-9.11060447,Shuleni,0,Rufiji,Ngelele,Iringa,11,4,Njombe,Mdandu,350,True,WUA,wanging'ombe water supply s,True,1974,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
70935,0,Dwsp,0,DWE,0,-2E-08,Izinga,0,Lake Victoria,Mwakapalala,Shinyanga,17,1,Bariadi,Nkoma,0,True,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,functional needs repair
17492,0,Hesawa,1233,DWE,32.99893617,-2.03031706,none,0,Lake Victoria,Tupendane,Mwanza,19,1,Ukerewe,Mukituntu,350,True,,,True,2002,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,functional needs repair
10033,250,Oxfarm,1511,OXFARM,29.80821725,-4.52136689,Kwa Yoram,0,Lake Tanganyika,Mhinda Kati,Kigoma,16,2,Kigoma Rural,Mkigo,370,True,Water authority,Mroroma,True,2001,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
26994,500,Abasia,1029,ABASIA,35.78916204,-10.42823353,Kwa Hoso,0,Lake Nyasa,Bombambili,Ruvuma,10,5,Namtumbo,Msindo,120,True,VWC,Maji mingi,True,1985,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
4047,0,Dwsp,0,DWE,0,-2E-08,Mwaruleka,0,Lake Victoria,Misi A,Shinyanga,17,1,Bariadi,Somanda,0,True,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
41059,0,Tanzania,489,RWE,37.64048225,-6.79336795,Kwa Chimpota,0,Wami / Ruvu,Mazimbu Darajani,Morogoro,5,5,Morogoro Urban,Mwembesongo,235,True,VWC,Mindu Wa,True,1985,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,dam,dam,surface,communal standpipe,communal standpipe,others
